ID,name,actual_price,category,Date,Sales,Category_Section,Units_Sold,Total_Price
1,Smartphone,2999.0,Electronics,2021-01-01,336.5463974,Tech Zone,11,32989
2,Cushion,1499.0,Home Goods,2021-01-02,427.3326637,Housewares,7,10493
3,Computer,2999.0,Electronics,2021-01-03,1606.075053,Tech Zone,17,50983
4,Science Textbook,2999.0,Books,2021-01-04,1043.107372,Reading Corner,1,2999
5,Cushion,2999.0,Home Goods,2021-01-05,1673.776379,Housewares,12,35988
6,Desk Lamp,4499.0,Home Goods,2021-01-06,1185.874793,Housewares,12,53988
7,Computer,1499.0,Electronics,2021-01-07,241.6947345,Tech Zone,2,2998
8,Cushion,1499.0,Home Goods,2021-01-08,875.3173612,Housewares,8,11992
9,Science Textbook,1499.0,Books,2021-01-09,452.6322041,Reading Corner,7,10493
10,Science Textbook,1499.0,Books,2021-01-10,1728.04145,Reading Corner,4,5996
11,Cushion,4499.0,Home Goods,2021-01-11,168.231093,Housewares,9,40491
12,Smartphone,1800.0,Electronics,2021-01-12,1421.84255,Tech Zone,4,7200
13,Desk Lamp,1800.0,Home Goods,2021-01-13,285.8958243,Housewares,2,3600
14,Dress,2700.0,Clothing,2021-01-14,243.0518043,Apparel Section,16,43200
15,T-shirt,2700.0,Clothing,2021-01-15,221.5035726,Apparel Section,5,13500
16,Novel,1800.0,Books,2021-01-16,1383.379759,Reading Corner,16,28800
17,Science Textbook,2700.0,Books,2021-01-17,788.2772487,Reading Corner,14,37800
18,Desk Lamp,2700.0,Home Goods,2021-01-18,1672.284033,Housewares,15,40500
19,Cookbook,2700.0,Books,2021-01-19,1213.096201,Reading Corner,3,8100
20,Computer,2999.0,Electronics,2021-01-20,429.4914428,Tech Zone,9,26991
21,Blanket,1799.0,Home Goods,2021-01-21,935.684702,Housewares,12,21588
22,Sweater,1499.0,Clothing,2021-01-22,1012.115536,Apparel Section,11,16489
23,Camera,1799.0,Electronics,2021-01-23,1220.535092,Tech Zone,2,3598
24,History Book,4599.0,Books,2021-01-24,1614.133714,Reading Corner,2,9198
25,Headphones,1799.0,Electronics,2021-01-25,1165.377474,Tech Zone,15,26985
26,Mirror,1799.0,Home Goods,2021-01-26,766.132514,Housewares,10,17990
27,History Book,1799.0,Books,2021-01-27,894.0876378,Reading Corner,5,8995
28,Science Textbook,4599.0,Books,2021-01-28,1870.94472,Reading Corner,2,9198
29,Camera,1499.0,Electronics,2021-01-29,1136.822036,Tech Zone,2,2998
30,Headphones,1499.0,Electronics,2021-01-30,153.3960789,Tech Zone,13,19487
31,History Book,1499.0,Books,2021-01-31,408.4079213,Reading Corner,16,23984
32,Novel,1499.0,Books,2021-02-01,1795.862154,Reading Corner,5,7495
33,Computer,2999.0,Electronics,2021-02-02,569.3486392,Tech Zone,11,32989
34,Computer,1499.0,Electronics,2021-02-03,1232.035781,Tech Zone,9,13491
35,Jeans,399.0,Clothing,2021-02-04,784.6227609,Apparel Section,11,4389
36,Science Textbook,2469.0,Books,2021-02-05,270.7607177,Reading Corner,12,29628
37,Headphones,2469.0,Electronics,2021-02-06,1390.59899,Tech Zone,15,37035
38,Camera,1299.0,Electronics,2021-02-07,397.8421369,Tech Zone,17,22083
39,Cushion,2599.0,Home Goods,2021-02-08,302.3079307,Housewares,16,41584
40,Camera,2469.0,Electronics,2021-02-09,1621.046873,Tech Zone,18,44442
41,Sweater,2469.0,Clothing,2021-02-10,381.9570629,Apparel Section,17,41973
42,Cookbook,3299.0,Books,2021-02-11,1256.690337,Reading Corner,13,42887
43,Sweater,2469.0,Clothing,2021-02-12,712.0201413,Apparel Section,18,44442
44,Dress,2599.0,Clothing,2021-02-13,1765.918513,Apparel Section,5,12995
45,Headphones,2469.0,Electronics,2021-02-14,513.5472466,Tech Zone,13,32097
46,Desk Lamp,3299.0,Home Goods,2021-02-15,631.6402744,Housewares,1,3299
47,Mirror,2499.0,Home Goods,2021-02-16,463.4680599,Housewares,15,37485
48,T-shirt,2469.0,Clothing,2021-02-17,1184.39973,Apparel Section,3,7407
49,Cushion,2469.0,Home Goods,2021-02-18,227.7037075,Housewares,9,22221
50,Sweater,3299.0,Clothing,2021-02-19,1078.981096,Apparel Section,19,62681
51,Sweater,2469.0,Clothing,2021-02-20,273.1008726,Apparel Section,8,19752
52,Desk Lamp,2469.0,Home Goods,2021-02-21,360.572554,Housewares,11,27159
53,Cushion,1539.0,Home Goods,2021-02-22,688.980251,Housewares,4,6156
54,T-shirt,2599.0,Clothing,2021-02-23,1691.659162,Apparel Section,19,49381
55,Novel,2469.0,Books,2021-02-24,1488.547375,Reading Corner,13,32097
56,Sweater,3299.0,Clothing,2021-02-25,1066.327777,Apparel Section,1,3299
57,Jeans,2469.0,Clothing,2021-02-26,612.194567,Apparel Section,10,24690
58,Computer,2469.0,Electronics,2021-02-27,199.6528139,Tech Zone,16,39504
59,Mirror,1539.0,Home Goods,2021-02-28,563.1737095,Housewares,18,27702
60,Mirror,2469.0,Home Goods,2021-03-01,487.9663401,Housewares,19,46911
61,T-shirt,2469.0,Clothing,2021-03-02,172.1792031,Apparel Section,18,44442
62,Camera,2469.0,Electronics,2021-03-03,646.1280802,Tech Zone,6,14814
63,Sweater,2469.0,Clothing,2021-03-04,977.2075973,Apparel Section,15,37035
64,Camera,2469.0,Electronics,2021-03-05,637.0486436,Tech Zone,3,7407
65,Computer,1539.0,Electronics,2021-03-06,1162.10856,Tech Zone,13,20007
66,Sweater,1539.0,Clothing,2021-03-07,803.3028834,Apparel Section,11,16929
67,Sweater,2499.0,Clothing,2021-03-08,550.2391283,Apparel Section,15,37485
68,Cushion,2469.0,Home Goods,2021-03-09,269.6049909,Housewares,12,29628
69,Headphones,1539.0,Electronics,2021-03-10,440.2493533,Tech Zone,13,20007
70,Mirror,1539.0,Home Goods,2021-03-11,764.8611621,Housewares,18,27702
71,Novel,1539.0,Books,2021-03-12,961.0761817,Reading Corner,10,15390
72,Sweater,2469.0,Clothing,2021-03-13,1629.702535,Apparel Section,16,39504
73,Smartphone,2469.0,Electronics,2021-03-14,1545.590568,Tech Zone,12,29628
74,Jeans,1539.0,Clothing,2021-03-15,1335.335368,Apparel Section,11,16929
75,Mirror,2469.0,Home Goods,2021-03-16,1158.784258,Housewares,10,24690
76,Jeans,2469.0,Clothing,2021-03-17,558.6271452,Apparel Section,17,41973
77,Computer,2469.0,Electronics,2021-03-18,1007.385696,Tech Zone,7,17283
78,Headphones,1539.0,Electronics,2021-03-19,376.6948926,Tech Zone,11,16929
79,Cushion,1539.0,Home Goods,2021-03-20,1021.661069,Housewares,4,6156
80,T-shirt,1539.0,Clothing,2021-03-21,1898.949209,Apparel Section,17,26163
81,Sweater,3299.0,Clothing,2021-03-22,442.7016196,Apparel Section,7,23093
82,Cushion,2469.0,Home Goods,2021-03-23,681.8945948,Housewares,3,7407
83,Cookbook,2999.0,Books,2021-03-24,1314.544967,Reading Corner,18,53982
84,Camera,3299.0,Electronics,2021-03-25,1201.898273,Tech Zone,7,23093
85,Camera,2469.0,Electronics,2021-03-26,161.3222186,Tech Zone,13,32097
86,Sweater,1539.0,Clothing,2021-03-27,893.9202325,Apparel Section,18,27702
87,Mirror,3019.0,Home Goods,2021-03-28,211.9317766,Housewares,11,33209
88,Cushion,2469.0,Home Goods,2021-03-29,364.1932458,Housewares,19,46911
89,Novel,3019.0,Books,2021-03-30,1078.175,Reading Corner,15,45285
90,Camera,3299.0,Electronics,2021-03-31,351.6489736,Tech Zone,13,42887
91,Science Textbook,2469.0,Books,2021-04-01,1350.542473,Reading Corner,14,34566
92,Computer,3299.0,Electronics,2021-04-02,337.5898499,Tech Zone,16,52784
93,Sweater,2469.0,Clothing,2021-04-03,273.3749225,Apparel Section,12,29628
94,T-shirt,1539.0,Clothing,2021-04-04,911.3518995,Apparel Section,5,7695
95,Cushion,1539.0,Home Goods,2021-04-05,915.8832267,Housewares,14,21546
96,Computer,2469.0,Electronics,2021-04-06,592.6321217,Tech Zone,10,24690
97,Headphones,2499.0,Electronics,2021-04-07,988.9071192,Tech Zone,4,9996
98,Science Textbook,1539.0,Books,2021-04-08,371.6947127,Reading Corner,8,12312
99,History Book,1539.0,Books,2021-04-09,1119.221494,Reading Corner,2,3078
100,Cushion,2999.0,Home Goods,2021-04-10,1403.787549,Housewares,7,20993
101,Sweater,2469.0,Clothing,2021-04-11,275.770674,Apparel Section,9,22221
102,Dress,1539.0,Clothing,2021-04-12,274.0768345,Apparel Section,13,20007
103,History Book,1539.0,Books,2021-04-13,1396.523031,Reading Corner,1,1539
104,Jeans,1539.0,Clothing,2021-04-14,1559.948856,Apparel Section,11,16929
105,Cookbook,3299.0,Books,2021-04-15,1256.520617,Reading Corner,18,59382
106,Jeans,1539.0,Clothing,2021-04-16,1586.478667,Apparel Section,9,13851
107,Novel,3299.0,Books,2021-04-17,100.9933867,Reading Corner,14,46186
108,Dress,3299.0,Clothing,2021-04-18,1015.836988,Apparel Section,10,32990
109,Desk Lamp,1539.0,Home Goods,2021-04-19,1036.291125,Housewares,14,21546
110,History Book,1539.0,Books,2021-04-20,944.073296,Reading Corner,11,16929
111,Smartphone,1539.0,Electronics,2021-04-21,738.9724833,Tech Zone,12,18468
112,Dress,2999.0,Clothing,2021-04-22,551.9708327,Apparel Section,2,5998
113,Camera,1539.0,Electronics,2021-04-23,1335.043904,Tech Zone,13,20007
114,Novel,1539.0,Books,2021-04-24,177.9728212,Reading Corner,2,3078
115,Smartphone,1539.0,Electronics,2021-04-25,1654.789118,Tech Zone,7,10773
116,Novel,1539.0,Books,2021-04-26,1684.039065,Reading Corner,19,29241
117,Camera,1539.0,Electronics,2021-04-27,790.1976695,Tech Zone,6,9234
118,Novel,1539.0,Books,2021-04-28,643.3134745,Reading Corner,5,7695
119,Blanket,1539.0,Home Goods,2021-04-29,356.8598743,Housewares,15,23085
120,Computer,1539.0,Electronics,2021-04-30,1310.911071,Tech Zone,6,9234
121,Sweater,1539.0,Clothing,2021-05-01,716.2849496,Apparel Section,15,23085
122,Cushion,1539.0,Home Goods,2021-05-02,1398.402598,Housewares,9,13851
123,Cookbook,1539.0,Books,2021-05-03,444.1494983,Reading Corner,5,7695
124,T-shirt,1599.0,Clothing,2021-05-04,1216.082026,Apparel Section,10,15990
125,Cookbook,1599.0,Books,2021-05-05,1571.816622,Reading Corner,8,12792
126,Mirror,1539.0,Home Goods,2021-05-06,1234.757052,Housewares,10,15390
127,Computer,1539.0,Electronics,2021-05-07,711.7376735,Tech Zone,19,29241
128,Sweater,1599.0,Clothing,2021-05-08,1748.690384,Apparel Section,16,25584
129,Jeans,1539.0,Clothing,2021-05-09,1301.219875,Apparel Section,12,18468
130,Dress,1539.0,Clothing,2021-05-10,725.2395322,Apparel Section,15,23085
131,Cushion,1539.0,Home Goods,2021-05-11,672.2598501,Housewares,19,29241
132,Mirror,1539.0,Home Goods,2021-05-12,361.8216951,Housewares,15,23085
133,Novel,1539.0,Books,2021-05-13,199.7423821,Reading Corner,4,6156
134,Computer,1539.0,Electronics,2021-05-14,1113.255924,Tech Zone,11,16929
135,Jeans,1539.0,Clothing,2021-05-15,1134.67619,Apparel Section,5,7695
136,Blanket,1539.0,Home Goods,2021-05-16,464.5355857,Housewares,7,10773
137,Mirror,1539.0,Home Goods,2021-05-17,1627.880665,Housewares,4,6156
138,Computer,1539.0,Electronics,2021-05-18,358.4433843,Tech Zone,6,9234
139,T-shirt,1539.0,Clothing,2021-05-19,1243.022939,Apparel Section,13,20007
140,Science Textbook,1539.0,Books,2021-05-20,799.5681356,Reading Corner,15,23085
141,Mirror,1539.0,Home Goods,2021-05-21,516.4435597,Housewares,13,20007
142,Cushion,1539.0,Home Goods,2021-05-22,1258.730396,Housewares,16,24624
143,History Book,1539.0,Books,2021-05-23,1630.662002,Reading Corner,19,29241
144,Desk Lamp,1539.0,Home Goods,2021-05-24,361.6466184,Housewares,7,10773
145,History Book,1539.0,Books,2021-05-25,1544.973917,Reading Corner,3,4617
146,Blanket,1539.0,Home Goods,2021-05-26,1435.703702,Housewares,3,4617
147,Dress,1539.0,Clothing,2021-05-27,1228.493817,Apparel Section,5,7695
148,Headphones,1539.0,Electronics,2021-05-28,1167.767097,Tech Zone,16,24624
149,Dress,1539.0,Clothing,2021-05-29,891.4221747,Apparel Section,19,29241
150,Computer,3299.0,Electronics,2021-05-30,806.8735872,Tech Zone,17,56083
151,History Book,3299.0,Books,2021-05-31,485.6434644,Reading Corner,8,26392
152,Cookbook,2199.0,Books,2021-06-01,567.6716456,Reading Corner,2,4398
153,Cookbook,2199.0,Books,2021-06-02,1637.047532,Reading Corner,3,6597
154,Cookbook,2199.0,Books,2021-06-03,703.6215593,Reading Corner,12,26388
155,T-shirt,2199.0,Clothing,2021-06-04,1622.830211,Apparel Section,17,37383
156,Headphones,2199.0,Electronics,2021-06-05,1325.172482,Tech Zone,13,28587
157,Jeans,2199.0,Clothing,2021-06-06,1168.58543,Apparel Section,12,26388
158,Mirror,2199.0,Home Goods,2021-06-07,555.2281021,Housewares,1,2199
159,Computer,2199.0,Electronics,2021-06-08,1271.149138,Tech Zone,3,6597
160,History Book,2199.0,Books,2021-06-09,1648.400213,Reading Corner,16,35184
161,Novel,2199.0,Books,2021-06-10,184.2288517,Reading Corner,3,6597
162,T-shirt,2199.0,Clothing,2021-06-11,305.853046,Apparel Section,16,35184
163,Sweater,2199.0,Clothing,2021-06-12,220.9729944,Apparel Section,16,35184
164,Computer,2199.0,Electronics,2021-06-13,470.3967054,Tech Zone,8,17592
165,Dress,999.0,Clothing,2021-06-14,276.2820659,Apparel Section,18,17982
166,History Book,2199.0,Books,2021-06-15,1740.698244,Reading Corner,14,30786
167,Science Textbook,2199.0,Books,2021-06-16,1497.058324,Reading Corner,4,8796
168,Cookbook,2199.0,Books,2021-06-17,697.1148101,Reading Corner,17,37383
169,T-shirt,2199.0,Clothing,2021-06-18,1389.572113,Apparel Section,6,13194
170,Novel,2199.0,Books,2021-06-19,1605.631486,Reading Corner,16,35184
171,Camera,2199.0,Electronics,2021-06-20,1437.805252,Tech Zone,2,4398
172,Camera,2199.0,Electronics,2021-06-21,363.7019618,Tech Zone,14,30786
173,Desk Lamp,1000.0,Home Goods,2021-06-22,462.5460175,Housewares,18,18000
174,Mirror,569.0,Home Goods,2021-06-23,260.2493865,Housewares,7,3983
175,Jeans,569.0,Clothing,2021-06-24,699.2608653,Apparel Section,5,2845
176,Dress,569.0,Clothing,2021-06-25,1139.840237,Apparel Section,4,2276
177,Novel,449.0,Books,2021-06-26,1048.363546,Reading Corner,7,3143
178,T-shirt,1499.0,Clothing,2021-06-27,1347.481156,Apparel Section,3,4497
179,Science Textbook,569.0,Books,2021-06-28,1281.460765,Reading Corner,3,1707
180,Smartphone,1499.0,Electronics,2021-06-29,1540.608372,Tech Zone,18,26982
181,Cookbook,569.0,Books,2021-06-30,527.2269563,Reading Corner,4,2276
182,Desk Lamp,449.0,Home Goods,2021-07-01,625.2364458,Housewares,13,5837
183,T-shirt,1625.0,Clothing,2021-07-02,311.832927,Apparel Section,19,30875
184,Camera,569.0,Electronics,2021-07-03,450.8157611,Tech Zone,2,1138
185,Desk Lamp,569.0,Home Goods,2021-07-04,708.618502,Housewares,6,3414
186,Cookbook,899.0,Books,2021-07-05,1367.684872,Reading Corner,18,16182
187,Novel,799.0,Books,2021-07-06,403.824753,Reading Corner,8,6392
188,T-shirt,899.0,Clothing,2021-07-07,1417.040479,Apparel Section,16,14384
189,Sweater,569.0,Clothing,2021-07-08,985.7259352,Apparel Section,3,1707
190,Novel,1499.0,Books,2021-07-09,958.5470335,Reading Corner,6,8994
191,Desk Lamp,899.0,Home Goods,2021-07-10,434.10608,Housewares,14,12586
192,Blanket,569.0,Home Goods,2021-07-11,1036.434084,Housewares,2,1138
193,Novel,569.0,Books,2021-07-12,1326.008894,Reading Corner,18,10242
194,Cushion,569.0,Home Goods,2021-07-13,728.6074925,Housewares,5,2845
195,Novel,899.0,Books,2021-07-14,732.8831451,Reading Corner,3,2697
196,Jeans,799.0,Clothing,2021-07-15,1121.892731,Apparel Section,12,9588
197,Science Textbook,799.0,Books,2021-07-16,623.3864783,Reading Corner,16,12784
198,Jeans,799.0,Clothing,2021-07-17,1704.541482,Apparel Section,18,14382
199,Cookbook,899.0,Books,2021-07-18,1147.003057,Reading Corner,14,12586
200,Cushion,569.0,Home Goods,2021-07-19,825.566243,Housewares,4,2276
201,Science Textbook,799.0,Books,2021-07-20,904.0147106,Reading Corner,17,13583
202,Dress,599.0,Clothing,2021-07-21,252.6534836,Apparel Section,2,1198
203,Blanket,449.0,Home Goods,2021-07-22,1626.343141,Housewares,7,3143
204,History Book,599.0,Books,2021-07-23,1103.101388,Reading Corner,13,7787
205,Cushion,899.0,Home Goods,2021-07-24,699.9621691,Housewares,1,899
206,Cookbook,599.0,Books,2021-07-25,216.3911823,Reading Corner,7,4193
207,History Book,1625.0,Books,2021-07-26,1003.989521,Reading Corner,9,14625
208,Headphones,899.0,Electronics,2021-07-27,456.6622003,Tech Zone,10,8990
209,Blanket,1625.0,Home Goods,2021-07-28,997.4519475,Housewares,8,13000
210,Desk Lamp,599.0,Home Goods,2021-07-29,893.6266058,Housewares,12,7188
211,Cushion,569.0,Home Goods,2021-07-30,446.4360899,Housewares,16,9104
212,Jeans,899.0,Clothing,2021-07-31,754.196769,Apparel Section,9,8091
213,Cushion,1625.0,Home Goods,2021-08-01,1138.354226,Housewares,15,24375
214,Cookbook,899.0,Books,2021-08-02,1232.165961,Reading Corner,12,10788
215,T-shirt,1625.0,Clothing,2021-08-03,504.9441982,Apparel Section,1,1625
216,Cushion,599.0,Home Goods,2021-08-04,1602.264625,Housewares,11,6589
217,Headphones,569.0,Electronics,2021-08-05,198.162671,Tech Zone,13,7397
218,Headphones,899.0,Electronics,2021-08-06,1689.385915,Tech Zone,1,899
219,Science Textbook,899.0,Books,2021-08-07,1650.302328,Reading Corner,12,10788
220,Science Textbook,1625.0,Books,2021-08-08,529.0406008,Reading Corner,12,19500
221,T-shirt,899.0,Clothing,2021-08-09,362.1091878,Apparel Section,12,10788
222,Science Textbook,899.0,Books,2021-08-10,1320.800228,Reading Corner,12,10788
